Time_ns,normalised_amplitude
-3.58069790905612,-0.00604231811548894
-2.91966739727934,-0.00851782363977494
-2.25863688550256,-0.013963935793204
-1.59760637372578,-0.0154492391077756
-0.936575861948997,-0.00109130706691674
-0.716232358023403,0.0627767354596622
-0.716232358023403,0.0271294559099438
-0.550974730079208,0.253638211382114
-0.606060606060607,0.202395247029393
-0.606060606060607,0.166747967479675
-0.606060606060607,0.131100687929956
-0.606060606060607,0.0969387116948093
-0.477526895437343,0.452916406087138
-0.49588885409781,0.407367104440275
-0.49588885409781,0.371719824890557
-0.49588885409781,0.336072545340838
-0.49588885409781,0.300425265791119
-0.330631226153615,0.65244215134459
-0.385717102135013,0.600456535334584
-0.385717102135013,0.564809255784866
-0.385717102135013,0.529161976235147
-0.385717102135013,0.495
-0.220459474190818,0.800972482801751
-0.275545350172216,0.754928080050031
-0.275545350172216,0.719280800500313
-0.330631226153615,0.692545340838024
-0.110287722228021,0.890833333333333
-0.165373598209419,0.844046278924328
0.0439527305198943,0.952770481550969
0.605828665530158,0.988120700437774
1.10160154936274,0.979703981655201
1.48720268123253,0.935144882218053
2.03806144104651,0.919054096310194
2.25840494497211,0.880436210131332
2.6440060768419,0.849987492182614
3.08469308469308,0.807804878048781
3.69063772048847,0.775227225349177
4.18641060432105,0.743045653533459
4.68218348815364,0.700466958515739
5.17795637198622,0.665067229518449
5.46440292708949,0.645015634771732
6.11441626366999,0.622240983948301
6.66527502348398,0.599713883677298
6.96824734138167,0.566294559099437
7.38139141124215,0.529161976235147
7.87716429507474,0.496980404419429
8.37293717890733,0.462818428184282
8.86871006273991,0.42420054200542
9.52974057451669,0.382612049197415
10.0255134583493,0.341271106941839
10.4662004662005,0.31349593495935
10.8848531236591,0.296860537836148
11.512832109847,0.296959558057119
12.1187767456424,0.283789868667917
12.7247213814378,0.24546904315197
13.3857518932146,0.229130706691682
14.0467824049914,0.194473629351678
14.7078129167681,0.191998123827392
15.3688434285449,0.155855743172816
16.0298739403217,0.140012507817386
16.6909044520985,0.119218261413383
17.3519349638753,0.108326037106525
18.012965475652,0.109811340421097
18.6739959874288,0.0875317907025224
19.3350264992056,0.0944632061705233
19.9960570109824,0.0746591619762351
20.6570875227592,0.0578257244110902
21.3181180345359,0.0583208255159475
21.9791485463127,0.0573306233062332
22.6401790580895,0.042477590160517
23.3012095698663,0.0414873879508026
23.9622400816431,0.0152470293933709
24.6626176476923,0.0245832216563926
